CP,Estado,Municipio,Tipo de Asentamiento,Asentamiento,Clave de Oficina
9830,Ciudad de México,Iztapalapa,Colonia,Paraje San Juan,9821
9837,Ciudad de México,Iztapalapa,Colonia,San Miguel 8va. Ampliación,9821
9838,Ciudad de México,Iztapalapa,Colonia,Plan de Iguala,9821
9839,Ciudad de México,Iztapalapa,Colonia,Ampliación Paraje San Juan,9821
9839,Ciudad de México,Iztapalapa,Colonia,San Juan Joya,9821
9840,Ciudad de México,Iztapalapa,Pueblo,Los Reyes Culhuacán,9821
9849,Ciudad de México,Iztapalapa,Colonia,Ampliación Los Reyes,9821
9850,Ciudad de México,Iztapalapa,Colonia,San Juan Xalpa,9821
9850,Ciudad de México,Iztapalapa,Colonia,San Nicolás Tolentino,9821
9850,Ciudad de México,Iztapalapa,Colonia,Santa María del Monte,9821
9856,Ciudad de México,Iztapalapa,Colonia,Estado de Veracruz,9821
9856,Ciudad de México,Iztapalapa,Colonia,Ampliación Veracruzana,9821
9858,Ciudad de México,Iztapalapa,Colonia,Paraje San Juan Cerro,9821
9859,Ciudad de México,Iztapalapa,Colonia,Benito Juárez,9821
9860,Ciudad de México,Iztapalapa,Colonia,Bellavista,9821
9860,Ciudad de México,Iztapalapa,Colonia,Ampliación Bellavista,9821
9860,Ciudad de México,Iztapalapa,Colonia,Casa Blanca,9821
9860,Ciudad de México,Iztapalapa,Colonia,Cerro de La Estrella,9821
9860,Ciudad de México,Iztapalapa,Colonia,Parque Nacional Cerro de la Estrella,9821
9860,Ciudad de México,Iztapalapa,Colonia,El Rodeo,9821
9868,Ciudad de México,Iztapalapa,Colonia,San Juan Estrella,9821
9870,Ciudad de México,Iztapalapa,Colonia,12 de Diciembre,9821
9870,Ciudad de México,Iztapalapa,Colonia,San Andrés Tomatlán,9821
9870,Ciudad de México,Iztapalapa,Pueblo,San Andrés Tomatlán,9821
9870,Ciudad de México,Iztapalapa,Pueblo,Santa María Tomatlán,9821
9880,Ciudad de México,Iztapalapa,Colonia,El Vergel,9821
9880,Ciudad de México,Iztapalapa,Colonia,Granjas Estrella,9821
9890,Ciudad de México,Iztapalapa,Colonia,Lomas Estrella,9821
9897,Ciudad de México,Iztapalapa,Colonia,Carlos Jonguitud Barrios,9821
9900,Ciudad de México,Iztapalapa,Barrio,Guadalupe,9291
9900,Ciudad de México,Iztapalapa,Barrio,San Antonio,9291
9900,Ciudad de México,Iztapalapa,Barrio,San Lorenzo,9291
9910,Ciudad de México,Iztapalapa,Colonia,La Esperanza,9291
9920,Ciudad de México,Iztapalapa,Colonia,José López Portillo,9291
9930,Ciudad de México,Iztapalapa,Colonia,El Rosario,9291
9940,Ciudad de México,Iztapalapa,Colonia,Jardines de San Lorenzo Tezonco,9291
9960,Ciudad de México,Iztapalapa,Colonia,Celoalliotli,9291
9960,Ciudad de México,Iztapalapa,Colonia,USCOVI,9291
9960,Ciudad de México,Iztapalapa,Colonia,El Molino Tezonco,9291
9960,Ciudad de México,Iztapalapa,Colonia,Allapetlalli,9291
9960,Ciudad de México,Iztapalapa,Colonia,La Planta,9291
9969,Ciudad de México,Iztapalapa,Colonia,Cananea,9291
9970,Ciudad de México,Iztapalapa,Colonia,Valle de San Lorenzo,9291
10000,Ciudad de México,La Magdalena Contreras,Colonia,Lomas Quebradas,10021
10010,Ciudad de México,La Magdalena Contreras,Colonia,La Malinche,10021
10010,Ciudad de México,La Magdalena Contreras,Colonia,San Bartolo Ameyalco,10021
10020,Ciudad de México,La Magdalena Contreras,Colonia,Cuauhtémoc,10021
10130,Ciudad de México,La Magdalena Contreras,Colonia,El Maestro,10101
10200,Ciudad de México,La Magdalena Contreras,Colonia,San Jerónimo Lídice,10701
10300,Ciudad de México,La Magdalena Contreras,Pueblo,San Bernabé Ocotepec,10021
10320,Ciudad de México,La Magdalena Contreras,Colonia,El Tanque,10021
10330,Ciudad de México,La Magdalena Contreras,Colonia,Las Cruces,10021
10340,Ciudad de México,La Magdalena Contreras,Colonia,Los Padres,10021
10350,Ciudad de México,La Magdalena Contreras,Colonia,Lomas de San Bernabé,10021
10360,Ciudad de México,La Magdalena Contreras,Colonia,Huayatla,10021
10368,Ciudad de México,La Magdalena Contreras,Colonia,Ampliación Potrerillo,10581
1857,Ciudad de México,Álvaro Obregón,Colonia,Lomas de Chamontoya,1001
1859,Ciudad de México,Álvaro Obregón,Colonia,Tlacoyaque,1001
1860,Ciudad de México,Álvaro Obregón,Colonia,Lomas de La Era,1001
1863,Ciudad de México,Álvaro Obregón,Colonia,Lomas del Capulín,1001
1870,Ciudad de México,Álvaro Obregón,Colonia,Lomas de los Cedros,1001
1900,Ciudad de México,Álvaro Obregón,Colonia,Jardines del Pedregal,1001
1904,Ciudad de México,Álvaro Obregón,Colonia,San Jerónimo Aculco,1001
2000,Ciudad de México,Azcapotzalco,Colonia,Centro de Azcapotzalco,2431
2010,Ciudad de México,Azcapotzalco,Barrio,Los Reyes,2011
2010,Ciudad de México,Azcapotzalco,Colonia,San Rafael,2011
2010,Ciudad de México,Azcapotzalco,Barrio,Nuevo Barrio San Rafael,2011
2020,Ciudad de México,Azcapotzalco,Barrio,San Marcos,2011
2020,Ciudad de México,Azcapotzalco,Colonia,Santo Tomás,2011
2040,Ciudad de México,Azcapotzalco,Colonia,Del Maestro,2011
2040,Ciudad de México,Azcapotzalco,Colonia,San Sebastián,2011
2050,Ciudad de México,Azcapotzalco,Colonia,Libertad,2011
2050,Ciudad de México,Azcapotzalco,Pueblo,Santa María Malinalco,2011
2060,Ciudad de México,Azcapotzalco,Colonia,Sindicato Mexicano de Electricistas,2011
2060,Ciudad de México,Azcapotzalco,Colonia,Un Hogar Para Cada Trabajador,2011
2070,Ciudad de México,Azcapotzalco,Colonia,Del Recreo,2011
2070,Ciudad de México,Azcapotzalco,Barrio,Nextengo,2011
2080,Ciudad de México,Azcapotzalco,Colonia,Clavería,2011
2080,Ciudad de México,Azcapotzalco,Colonia,Sector Naval,2011
2090,Ciudad de México,Azcapotzalco,Colonia,San Álvaro,2011
2099,Ciudad de México,Azcapotzalco,Colonia,Ángel Zimbrón,2011
2100,Ciudad de México,Azcapotzalco,Colonia,El Rosario,2011
2120,Ciudad de México,Azcapotzalco,Pueblo,San Martín Xochinahuac,2011
2128,Ciudad de México,Azcapotzalco,Colonia,Nueva El Rosario,2011
2129,Ciudad de México,Azcapotzalco,Colonia,Nueva España,2011
2130,Ciudad de México,Azcapotzalco,Colonia,Tierra Nueva,2011
2140,Ciudad de México,Azcapotzalco,Colonia,Santa Inés,2011
2150,Ciudad de México,Azcapotzalco,Colonia,Pasteros,2011
2160,Ciudad de México,Azcapotzalco,Pueblo,Santo Domingo,2431
2200,Ciudad de México,Azcapotzalco,Colonia,Reynosa Tamaulipas,2011
2230,Ciudad de México,Azcapotzalco,Pueblo,Santa Bárbara,2011
2240,Ciudad de México,Azcapotzalco,Barrio,San Andrés,2011
2240,Ciudad de México,Azcapotzalco,Pueblo,San Andrés,2011
2250,Ciudad de México,Azcapotzalco,Pueblo,Santa Catarina,2011
2300,Ciudad de México,Azcapotzalco,Colonia,Industrial Vallejo,2601
2310,Ciudad de México,Azcapotzalco,Colonia,Ferrería,2601
2320,Ciudad de México,Azcapotzalco,Pueblo,San Andrés de las Salinas,2601
2330,Ciudad de México,Azcapotzalco,Barrio,Huautla de las Salinas,2601
2340,Ciudad de México,Azcapotzalco,Colonia,Santa Cruz de las Salinas,2601
2360,Ciudad de México,Azcapotzalco,Colonia,Las Salinas,2601
2400,Ciudad de México,Azcapotzalco,Pueblo,San Juan Tlihuaca,2431
2410,Ciudad de México,Azcapotzalco,Colonia,Prados del Rosario,2431
2420,Ciudad de México,Azcapotzalco,Colonia,Ex-Hacienda El Rosario,2431
2440,Ciudad de México,Azcapotzalco,Colonia,Providencia,2431
2459,Ciudad de México,Azcapotzalco,Colonia,Tezozomoc,2431
2460,Ciudad de México,Azcapotzalco,Colonia,La Preciosa,2431
2470,Ciudad de México,Azcapotzalco,Colonia,Ampliación Petrolera,2431
7889,Ciudad de México,Gustavo A. Madero,Colonia,Emiliano Zapata,7001
7890,Ciudad de México,Gustavo A. Madero,Colonia,Cuchilla La Joya,7001
7890,Ciudad de México,Gustavo A. Madero,Colonia,La Joya,7001
7890,Ciudad de México,Gustavo A. Madero,Colonia,Nueva Tenochtitlán,7001
7899,Ciudad de México,Gustavo A. Madero,Colonia,La Malinche,7001
7900,Ciudad de México,Gustavo A. Madero,Colonia,Cuchilla del Tesoro,7981
7910,Ciudad de México,Gustavo A. Madero,Colonia,San Juan de Aragón VII Sección,7981
7918,Ciudad de México,Gustavo A. Madero,Colonia,San Juan de Aragón VI Sección,7981
7919,Ciudad de México,Gustavo A. Madero,Colonia,Ex Ejido San Juan de Aragón Sector 32,7981
7920,Ciudad de México,Gustavo A. Madero,Colonia,El Olivo,7981
7920,Ciudad de México,Gustavo A. Madero,Colonia,San Juan de Aragón,7981
7930,Ciudad de México,Gustavo A. Madero,Colonia,Indeco,7981
7939,Ciudad de México,Gustavo A. Madero,Colonia,Héroes de Chapultepec,7981
7940,Ciudad de México,Gustavo A. Madero,Colonia,Ex Ejido San Juan de Aragón Sector 33,7981
7950,Ciudad de México,Gustavo A. Madero,Pueblo,San Juan de Aragón,7981
7960,Ciudad de México,Gustavo A. Madero,Colonia,Héroes de Cerro Prieto,7981
7960,Ciudad de México,Gustavo A. Madero,Colonia,Ex Escuela de Tiro,7981
7960,Ciudad de México,Gustavo A. Madero,Colonia,Fernando Casas Alemán,7981
7969,Ciudad de México,Gustavo A. Madero,Colonia,San Juan de Aragón I Sección,7981
7969,Ciudad de México,Gustavo A. Madero,Colonia,San Juan de Aragón II Sección,7981
7970,Ciudad de México,Gustavo A. Madero,Colonia,San Juan de Aragón III Sección,7981
7979,Ciudad de México,Gustavo A. Madero,Colonia,San Juan de Aragón IV Sección,7981
7979,Ciudad de México,Gustavo A. Madero,Colonia,San Juan de Aragón V Sección,7981
7980,Ciudad de México,Gustavo A. Madero,Colonia,Narciso Bassols,7981
7990,Ciudad de México,Gustavo A. Madero,Colonia,C.T.M. Aragón,7981
8000,Ciudad de México,Iztacalco,Colonia,Gabriel Ramos Millán Sección Bramadero,8231
8010,Ciudad de México,Iztacalco,Colonia,Ex-Ejido de La Magdalena Mixiuhca,8231
8020,Ciudad de México,Iztacalco,Colonia,Ampliación Gabriel Ramos Millán,8231
8030,Ciudad de México,Iztacalco,Colonia,Gabriel Ramos Millán Sección Cuchilla,8231
8040,Ciudad de México,Iztacalco,Colonia,Carlos Zapata Vela,8231
8100,Ciudad de México,Iztacalco,Colonia,Agrícola Pantitlán,8231
8200,Ciudad de México,Iztacalco,Colonia,Viaducto Piedad,8231
8210,Ciudad de México,Iztacalco,Colonia,Nueva Santa Anita,8231
8220,Ciudad de México,Iztacalco,Barrio,San Pedro,8231
8230,Ciudad de México,Iztacalco,Barrio,San Francisco Xicaltongo,8231
8240,Ciudad de México,Iztacalco,Barrio,Santiago Norte,8231
8300,Ciudad de México,Iztacalco,Colonia,Santa Anita,8231
8310,Ciudad de México,Iztacalco,Colonia,La Cruz,8231
8320,Ciudad de México,Iztacalco,Colonia,Fraccionamiento Coyuya,8231
8400,Ciudad de México,Iztacalco,Colonia,Granjas México,8231
8420,Ciudad de México,Iztacalco,Colonia,Cuchilla Agrícola Oriental,8231
8500,Ciudad de México,Iztacalco,Colonia,Agrícola Oriental,8231
8510,Ciudad de México,Iztacalco,Colonia,El Rodeo,8231
8600,Ciudad de México,Iztacalco,Barrio,La Asunción,8231
8610,Ciudad de México,Iztacalco,Barrio,Zapotla,8231
8620,Ciudad de México,Iztacalco,Barrio,Los Reyes,8231
8650,Ciudad de México,Iztacalco,Barrio,San Miguel,8231
8700,Ciudad de México,Iztacalco,Colonia,Juventino Rosas,8231
8710,Ciudad de México,Iztacalco,Colonia,Tlazintla,8231
8720,Ciudad de México,Iztacalco,Colonia,Gabriel Ramos Millán Sección Tlacotal,8231
8730,Ciudad de México,Iztacalco,Colonia,Gabriel Ramos Millán,8231
8760,Ciudad de México,Iztacalco,Colonia,INPI Picos,8231
8760,Ciudad de México,Iztacalco,Colonia,Los Picos de Iztacalco Sección 2A,8231
8760,Ciudad de México,Iztacalco,Colonia,Los Picos de Iztacalco Sección 1B,8231
13050,Ciudad de México,Tláhuac,Colonia,La Habana,13011
13060,Ciudad de México,Tláhuac,Barrio,La Guadalupe,13011
13060,Ciudad de México,Tláhuac,Barrio,Santa Ana,13011
13070,Ciudad de México,Tláhuac,Barrio,La Magdalena,13011
13070,Ciudad de México,Tláhuac,Barrio,San Miguel,13011
13080,Ciudad de México,Tláhuac,Barrio,Los Reyes,13011
13090,Ciudad de México,Tláhuac,Colonia,Quiahuatla,13011
13093,Ciudad de México,Tláhuac,Colonia,San Sebastián,13011
13094,Ciudad de México,Tláhuac,Colonia,San Isidro,13011
13099,Ciudad de México,Tláhuac,Barrio,San Andrés,13011
13100,Ciudad de México,Tláhuac,Barrio,La Guadalupe,13011
13120,Ciudad de México,Tláhuac,Colonia,Ampliación Santa Catarina,13011
13120,Ciudad de México,Tláhuac,Barrio,Santiago,13011
13150,Ciudad de México,Tláhuac,Barrio,La Concepción,13011
13180,Ciudad de México,Tláhuac,Barrio,San Miguel,13011
13200,Ciudad de México,Tláhuac,Colonia,Miguel Hidalgo,13221
13210,Ciudad de México,Tláhuac,Colonia,Los Olivos,13221
13219,Ciudad de México,Tláhuac,Colonia,Las Arboledas,13221
13219,Ciudad de México,Tláhuac,Colonia,Ampliación Los Olivos,13221
13220,Ciudad de México,Tláhuac,Colonia,La Nopalera,13221
13230,Ciudad de México,Tláhuac,Colonia,Granjas Cabrera,13221
13250,Ciudad de México,Tláhuac,Colonia,La Turba,13221
13270,Ciudad de México,Tláhuac,Colonia,Del Mar,13221
13273,Ciudad de México,Tláhuac,Colonia,La Draga,13221
13278,Ciudad de México,Tláhuac,Colonia,Villa Centroamericana,13221
13280,Ciudad de México,Tláhuac,Colonia,Agrícola Metropolitana,13221
13300,Ciudad de México,Tláhuac,Barrio,Santa Ana Centro,13221
13300,Ciudad de México,Tláhuac,Barrio,Santiago Centro,13221
13300,Ciudad de México,Tláhuac,Barrio,Santa Ana Poniente,13221
13300,Ciudad de México,Tláhuac,Barrio,Santa Ana Norte,13221
13300,Ciudad de México,Tláhuac,Barrio,Santiago Norte,13221
13310,Ciudad de México,Tláhuac,Colonia,Zapotitla,13221
13315,Ciudad de México,Tláhuac,Colonia,Ampliación Zapotitla,13221
13319,Ciudad de México,Tláhuac,Colonia,La Estación,13221
13360,Ciudad de México,Tláhuac,Colonia,La Conchita Zapotitlán,13221
13360,Ciudad de México,Tláhuac,Barrio,Santa Ana Sur,13221
13360,Ciudad de México,Tláhuac,Barrio,Santiago Sur,13221
13400,Ciudad de México,Tláhuac,Pueblo,San Francisco Tlaltenco,13011
13410,Ciudad de México,Tláhuac,Colonia,López Portillo,13011
13419,Ciudad de México,Tláhuac,Colonia,Ampliación José López Portillo,13011
13420,Ciudad de México,Tláhuac,Colonia,Selene,13011
13430,Ciudad de México,Tláhuac,Colonia,Ampliación Selene,13011
13440,Ciudad de México,Tláhuac,Colonia,Zacatenco,13011
13450,Ciudad de México,Tláhuac,Colonia,Guadalupe Tlaltenco,13011
13450,Ciudad de México,Tláhuac,Colonia,Ojo de Agua,13011
13460,Ciudad de México,Tláhuac,Colonia,El Triángulo,13011
13508,Ciudad de México,Tláhuac,Barrio,San Agustín,13011
13508,Ciudad de México,Tláhuac,Barrio,La Soledad,13011
13509,Ciudad de México,Tláhuac,Barrio,La Concepción,13011
13510,Ciudad de México,Tláhuac,Colonia,La Lupita,13011
13520,Ciudad de México,Tláhuac,Colonia,Francisco Villa,13011
13530,Ciudad de México,Tláhuac,Colonia,Jaime Torres Bodet,13011
13530,Ciudad de México,Tláhuac,Colonia,La Asunción,13011
13540,Ciudad de México,Tláhuac,Colonia,El Rosario,13011
13540,Ciudad de México,Tláhuac,Colonia,Tierra Blanca,13011
13545,Ciudad de México,Tláhuac,Colonia,Ampliación La Conchita,13011
13549,Ciudad de México,Tláhuac,Colonia,Peña Alta,13011
1389,Ciudad de México,Álvaro Obregón,Colonia,Santa Fe Tlayapaca,1401
1400,Ciudad de México,Álvaro Obregón,Colonia,Olivar del Conde 1a Sección,1401
1400,Ciudad de México,Álvaro Obregón,Colonia,Preconcreto,1401
1407,Ciudad de México,Álvaro Obregón,Colonia,Galeana,1401
1408,Ciudad de México,Álvaro Obregón,Colonia,Olivar del Conde 2a Sección,1401
1410,Ciudad de México,Álvaro Obregón,Colonia,Barrio Norte,1401
1410,Ciudad de México,Álvaro Obregón,Colonia,Palmas,1401
1419,Ciudad de México,Álvaro Obregón,Colonia,Minas Cristo Rey,1401
1420,Ciudad de México,Álvaro Obregón,Colonia,Sacramento,1401
1420,Ciudad de México,Álvaro Obregón,Barrio,Santa María Nonoalco,1401
1430,Ciudad de México,Álvaro Obregón,Colonia,Colina del Sur,1401
1450,Ciudad de México,Álvaro Obregón,Colonia,Hogar y Redención,1401
1460,Ciudad de México,Álvaro Obregón,Colonia,Alfonso XIII,1401
1470,Ciudad de México,Álvaro Obregón,Barrio,Alfalfar,1401
1470,Ciudad de México,Álvaro Obregón,Colonia,Molino de Rosas,1401
1480,Ciudad de México,Álvaro Obregón,Colonia,Lomas de Plateros,1401
1490,Ciudad de México,Álvaro Obregón,Colonia,La Cascada,1401
1500,Ciudad de México,Álvaro Obregón,Pueblo,Santa Lucía,1401
1500,Ciudad de México,Álvaro Obregón,Colonia,Miguel Gaona Armenta,1401
1509,Ciudad de México,Álvaro Obregón,Pueblo,Santa Lucía Chantepec,1401
1510,Ciudad de México,Álvaro Obregón,Colonia,Garcimarrero,1401
1510,Ciudad de México,Álvaro Obregón,Colonia,La Araña,1401
1510,Ciudad de México,Álvaro Obregón,Colonia,Los Cedros,1401
1520,Ciudad de México,Álvaro Obregón,Colonia,Ampliación Los Pirules,1401
1520,Ciudad de México,Álvaro Obregón,Colonia,Estado de Hidalgo,1401
1520,Ciudad de México,Álvaro Obregón,Colonia,Ampliación Estado de Hidalgo,1401
1520,Ciudad de México,Álvaro Obregón,Colonia,Piru Santa Lucía,1401
1520,Ciudad de México,Álvaro Obregón,Colonia,El Politoco,1401
1530,Ciudad de México,Álvaro Obregón,Colonia,Corpus Christy,1401
1538,Ciudad de México,Álvaro Obregón,Colonia,Tepopotla,1401
